[01:29:01] [Client thread/INFO]: Setting user: Player392
[01:29:04] [Client thread/WARN]: Skipping bad option: lastServer:
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.egg
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.chicken.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.chorus_flower.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.chorus_flower.grow
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.chorus_fruit.teleport
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wool.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.flop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cod.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.comparator.click
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.composter.empty
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.composter.fill
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.composter.fill_success
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.composter.ready
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.activate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.ambient.short
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.attack.target
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.conduit.deactivate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.milk
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.cow.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.creeper.primed
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.crop.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crop.plant
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.loading_end
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.loading_middle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.loading_start
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.quick_charge_1
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.quick_charge_2
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.quick_charge_3
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.crossbow.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.dispense
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.fail
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.dispenser.launch
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.ambient_water
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.attack
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.eat
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.jump
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.play
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.splash
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dolphin.swim
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.angry
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.chest
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.donkey.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.ambient_water
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.death_water
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.hurt_water
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.drowned.swim
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.egg.throw
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.ambient_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.curse
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.death_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.flop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.elder_guardian.hurt_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.elytra.flying
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.enchantment_table.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.ender_chest.close
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.ender_chest.open
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.dragon_fireball.explode
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.flap
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.growl
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_dragon.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_eye.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_eye.launch
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.scream
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.stare
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.enderman.teleport
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.endermite.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ender_pearl.throw
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.end_gateway.spawn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.end_portal_frame.fill
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.end_portal.spawn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.cast_spell
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.celebrate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker_fangs.attack
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_attack
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_summon
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.evoker.prepare_wololo
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.experience_bottle.throw
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.experience_orb.pickup
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.fence_gate.close
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.fence_gate.open
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.firecharge.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.blast
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.blast_far
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.large_blast
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.large_blast_far
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.launch
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.twinkle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.firework_rocket.twinkle_far
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.fire.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.fire.extinguish
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fish.swim
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.flintandsteel.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.aggro
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.bite
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.eat
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.screech
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.sleep
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.sniff
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.fox.spit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.furnace.fire_crackle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.big_fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.burn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.drink
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.eat
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.explode
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.extinguish_fire
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.small_fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.splash
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.generic.swim
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.scream
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.shoot
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ghast.warn
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.glass.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grass.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.wet_grass.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.coral_block.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.break
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.hit
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.place
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.gravel.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:block.grindstone.use
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.ambient_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.attack
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.death_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.flop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.guardian.hurt_land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:item.hoe.till
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.angry
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.armor
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.breathe
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.eat
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.gallop
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.jump
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.land
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.saddle
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.horse.step_wood
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.big_fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.small_fall
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.splash
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.hostile.swim
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.husk.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.husk.converted_to_zombie
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.husk.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.husk.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.husk.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.attack
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.celebrate
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.hurt
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.step
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.stunned
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.ravager.roar
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.illusioner.ambient
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.illusioner.cast_spell
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.illusioner.death
[01:29:13] [Client thread/WARN]: Missing sound for event: minecraft:entity.illusioner.hurt
